,trade_day,date_section,vot
602,20230926,20230915_0,5885.112909486768
603,20230926,20230915_1,3965.9397629378323
604,20230926,20230915_2,8749.37411270097
605,20230926,20230918_0,6079.97264740651
606,20230926,20230918_1,3908.560947177521
607,20230926,20230918_2,8303.794183944596
608,20230926,20230919_0,6021.643974146948
609,20230926,20230919_1,4026.3335933659964
610,20230926,20230919_2,8910.493309886251
611,20230926,20230920_0,6207.301900324281
612,20230926,20230920_1,3969.173803703779
613,20230926,20230920_2,9231.518299995185
614,20230926,20230921_0,6235.484868978136
615,20230926,20230921_1,4132.747996701073
616,20230926,20230921_2,9265.06720728647
617,20230926,20230922_0,6219.927472891208
618,20230926,20230922_1,4163.222465170367
619,20230926,20230922_2,9586.331528271252
620,20230926,20230925_0,6083.897221421756
621,20230926,20230925_1,4043.329261119484
622,20230926,20230925_2,9408.161287941324
623,20230926,20230926_0,5810.455783193375
624,20230926,20230926_1,4088.6315077723666
625,20230927,20230829_2,6993.284167635273
626,20230927,20230830_0,4653.459731988275
627,20230927,20230830_1,2833.838665340219
628,20230927,20230830_2,7440.6624280919505
629,20230927,20230831_0,4861.322918782392
630,20230927,20230831_1,3152.5974833009245
631,20230927,20230831_2,7685.917176043184
632,20230927,20230901_0,5093.684716950308
633,20230927,20230901_1,3249.2969975567134
634,20230927,20230901_2,9097.839684536822
635,20230927,20230904_0,5195.843943663866
636,20230927,20230904_1,3336.91465488061
637,20230927,20230904_2,7850.89864194645
638,20230927,20230905_0,4916.451048514069
639,20230927,20230905_1,3395.3841728703756
640,20230927,20230905_2,8207.0761559133
641,20230927,20230906_0,4924.626528156363
642,20230927,20230906_1,3381.9846654703397
643,20230927,20230906_2,8017.955622806902
644,20230927,20230907_0,5272.969846274779
645,20230927,20230907_1,3433.2660200728074
646,20230927,20230907_2,7605.192327190725
647,20230927,20230908_0,2873.428126331202
648,20230927,20230908_1,3327.9021587690904
649,20230927,20230908_2,7527.989600970947
650,20230927,20230911_0,5103.551817279552
651,20230927,20230911_1,3420.345661004764
652,20230927,20230911_2,7440.024778000484
653,20230927,20230912_0,5009.837025227007
654,20230927,20230912_1,3607.485459907356
655,20230927,20230912_2,7228.875736684811
656,20230927,20230913_0,5196.309804236486
657,20230927,20230913_1,3426.047727729762
658,20230927,20230913_2,7401.71873807048
659,20230927,20230914_0,5044.427146854546
660,20230927,20230914_1,3432.863715158523
661,20230927,20230914_2,7440.623478910404
662,20230927,20230915_0,5017.698776482991
663,20230927,20230915_1,3381.3949540407107
664,20230927,20230915_2,7459.792947986145
665,20230927,20230918_0,5183.83789455659
666,20230927,20230918_1,3332.473273511447
667,20230927,20230918_2,7079.887600759557
668,20230927,20230919_0,5134.106357209772
669,20230927,20230919_1,3432.8872624649084
670,20230927,20230919_2,7597.164585713144
671,20230927,20230920_0,5292.399930052305
672,20230927,20230920_1,3384.1523255039206
673,20230927,20230920_2,7870.873302073275
674,20230927,20230921_0,5316.428975799949
675,20230927,20230921_1,3523.617114147762
676,20230927,20230921_2,7899.477394068939
677,20230927,20230922_0,5303.1646037290575
678,20230927,20230922_1,3549.5999126945585
679,20230927,20230922_2,8173.390166028577
680,20230927,20230925_0,5187.184020712092
681,20230927,20230925_1,3447.37791754728
682,20230927,20230925_2,8021.480659676027
683,20230927,20230926_0,4954.045457163624
684,20230927,20230926_1,3486.0030095545503
685,20230927,20230926_2,8016.138310368527
686,20230927,20230927_0,5149.763243004635
687,20230927,20230927_1,3524.621123385754
688,20230928,20230830_2,7414.35113608412
689,20230928,20230831_0,4844.132555948899
690,20230928,20230831_1,3141.44942843781
691,20230928,20230831_2,7658.738626670567
692,20230928,20230901_0,5075.6726881452505
693,20230928,20230901_1,3237.806998789923
694,20230928,20230901_2,9065.668366607317
695,20230928,20230904_0,5177.4706645976485
696,20230928,20230904_1,3325.114827010676
697,20230928,20230904_2,7823.136693505913
698,20230928,20230905_0,4899.065744392319
699,20230928,20230905_1,3383.3775880649864
700,20230928,20230905_2,8178.054710664896
701,20230928,20230906_0,4907.2123143193485
702,20230928,20230906_1,3370.025463321451
703,20230928,20230906_2,7989.602935968025
704,20230928,20230907_0,5254.323838514769
705,20230928,20230907_1,3421.1254794062065
706,20230928,20230907_2,7578.299232922539
707,20230928,20230908_0,2863.2672559482135
708,20230928,20230908_1,3316.134200429484
709,20230928,20230908_2,7501.369507056293
710,20230928,20230911_0,5085.5048969362015
711,20230928,20230911_1,3408.2508086547045
712,20230928,20230911_2,7413.715740818473
713,20230928,20230912_0,4992.121494364496
714,20230928,20230912_1,3594.72885331931
715,20230928,20230912_2,7203.313354002574
716,20230928,20230913_0,5177.934877817808
717,20230928,20230913_1,3413.932712021385
718,20230928,20230913_2,7375.545156758427
719,20230928,20230914_0,5026.589300163368
720,20230928,20230914_1,3420.7245971020975
721,20230928,20230914_2,7414.312324632689
722,20230928,20230915_0,4999.955445295578
723,20230928,20230915_1,3369.4378371993835
724,20230928,20230915_2,7433.414007606942
725,20230928,20230918_0,5165.5070706705355
726,20230928,20230918_1,3320.689151028399
727,20230928,20230918_2,7054.852062345275
728,20230928,20230919_0,5115.951391456482
729,20230928,20230919_1,3420.7480611416954
730,20230928,20230919_2,7570.299878736039
731,20230928,20230920_0,5273.685214618355
732,20230928,20230920_1,3372.1854581858793
733,20230928,20230920_2,7843.040720255612
734,20230928,20230921_0,5297.629290076667
735,20230928,20230921_1,3511.1570785380154
736,20230928,20230921_2,7871.543663916112
737,20230928,20230922_0,5284.411822803598
738,20230928,20230922_1,3537.0479980342093
739,20230928,20230922_2,8144.487839464159
740,20230928,20230925_0,5168.841364424928
741,20230928,20230925_1,3435.187475106634
742,20230928,20230925_2,7993.1155077810745
743,20230928,20230926_0,4936.527213606252
744,20230928,20230926_1,3473.675983028219
745,20230928,20230926_2,7987.792049817455
746,20230928,20230927_0,5131.552912168187
747,20230928,20230927_1,3512.1575374496088
748,20230928,20230927_2,8199.344087048376
749,20230928,20230928_0,5115.23998263792
750,20230928,20230928_1,3365.462689708781
751,20231006,20230831_2,6985.104526945878
752,20231006,20230901_0,4629.23543934436
753,20231006,20230901_1,2953.021564917463
754,20231006,20230901_2,8268.285971642763
755,20231006,20230904_0,4722.079645265602
756,20231006,20230904_1,3032.6501220298383
757,20231006,20230904_2,7135.042752657588
758,20231006,20230905_0,4468.162184017071
759,20231006,20230905_1,3085.7883078109285
760,20231006,20230905_2,7458.74350407357
761,20231006,20230906_0,4475.59221202171
762,20231006,20230906_1,3073.6105861864257
763,20231006,20230906_2,7286.8672449775795
764,20231006,20230907_0,4792.173100494536
765,20231006,20230907_1,3120.2160353445474
766,20231006,20230907_2,6911.740282413826
767,20231006,20230908_0,2611.424941664882
768,20231006,20230908_1,3024.4593978851804
769,20231006,20230908_2,6841.577008459844
770,20231006,20230911_0,4638.202843702094
771,20231006,20230911_1,3108.4737726387693
772,20231006,20230911_2,6761.632940748813
773,20231006,20230912_0,4553.033097110442
774,20231006,20230912_1,3278.5499036385563
775,20231006,20230912_2,6569.736763549348
776,20231006,20230913_0,4722.503028021388
777,20231006,20230913_1,3113.6559169660427
778,20231006,20230913_2,6726.819698972222
779,20231006,20230914_0,4584.469243198671
780,20231006,20230914_1,3119.850413153518
781,20231006,20230914_2,6762.177051274646
782,20231006,20230915_0,4560.17800292065
783,20231006,20230915_1,3073.0746454675314
784,20231006,20230915_2,6779.598621420819
785,20231006,20230918_0,4711.1683244630085
786,20231006,20230918_1,3028.6137120091407
787,20231006,20230918_2,6434.333573679368
