seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1665,00:18:51:500,[550],[1000],[589],[1000]
1666,00:18:52:000,[550],[1000],[600],[2000]
1667,00:18:52:500,[550],[1000],[600],[1000]
1668,00:18:53:000,[550],[1000],[600],[2000]
1669,00:18:53:500,[539],[8000],[600],[2000]
1670,00:18:54:000,[550],[1000],[600],[2000]
1671,00:18:55:000,[550],[1000],[609],[8000]
1672,00:18:55:500,[539],[1000],[609],[5000]
1673,00:18:56:000,[539],[5000],[609],[5000]
1674,00:18:56:500,[539],[3000],[609],[5000]
1675,00:18:57:000,[539],[3000],[609],[5000]
1676,00:18:57:500,[529],[5000],[609],[5000]
1677,00:18:58:000,[529],[5000],[600],[3000]
1678,00:18:58:500,[529],[4000],[600],[3000]
1679,00:18:59:000,[529],[4000],[600],[5000]
1680,00:18:59:500,[539],[2000],[609],[8000]
1681,00:19:00:000,[539],[4000],[609],[8000]
1682,00:19:01:000,[539],[4000],[609],[6000]
1683,00:19:02:000,[539],[6000],[600],[1000]
1684,00:19:04:000,[540],[3000],[600],[1000]
1685,00:19:04:500,[529],[8000],[589],[3000]
1686,00:19:05:000,[540],[2000],[589],[3000]
1687,00:19:05:500,[540],[6000],[600],[3000]
1688,00:19:06:500,[540],[1000],[590],[2000]
1689,00:19:07:000,[529],[6000],[590],[5000]
1690,00:19:07:500,[529],[6000],[590],[5000]
1691,00:19:08:000,[540],[3000],[590],[2000]
1692,00:19:08:500,[530],[6000],[600],[5000]
1693,00:19:09:000,[530],[6000],[600],[5000]
1694,00:19:10:000,[530],[4000],[600],[5000]
1695,00:19:10:500,[540],[1000],[590],[2000]
1696,00:19:11:000,[540],[1000],[590],[2000]
1697,00:19:11:500,[529],[4000],[590],[7000]
1698,00:19:12:000,[529],[4000],[590],[7000]
1699,00:19:12:500,[529],[1000],[590],[7000]
1700,00:19:13:000,[540],[1000],[590],[6000]
1701,00:19:13:500,[540],[1000],[590],[6000]
1702,00:19:15:500,[540],[4000],[590],[5000]
1703,00:19:19:000,[529],[4000],[590],[5000]
1704,00:19:19:500,[540],[4000],[590],[5000]
1705,00:19:20:000,[540],[1000],[590],[2000]
1706,00:19:20:500,[540],[1000],[590],[2000]
1707,00:19:21:000,[550],[1000],[600],[6000]
1708,00:19:21:500,[540],[3000],[600],[6000]
1709,00:19:22:000,[550],[1000],[600],[3000]
1710,00:19:22:500,[550],[1000],[600],[3000]
1711,00:19:23:000,[540],[3000],[610],[74000]
1712,00:19:23:500,[540],[3000],[600],[7000]
1713,00:19:25:000,[540],[3000],[610],[74000]
1714,00:19:25:500,[540],[3000],[610],[74000]
1715,00:19:27:000,[550],[3000],[600],[69000]
1716,00:19:27:500,[550],[3000],[600],[69000]
1717,00:19:28:000,[550],[3000],[600],[68000]
1718,00:19:30:000,[550],[3000],[600],[68000]
1719,00:19:31:000,[550],[3000],[600],[68000]
1720,00:19:32:000,[539],[3000],[600],[68000]
1721,00:19:33:500,[539],[3000],[610],[71000]
1722,00:19:34:000,[540],[6000],[600],[14000]
1723,00:19:34:500,[550],[1000],[600],[8000]
1724,00:19:41:500,[550],[4000],[600],[8000]
1725,00:19:42:000,[550],[4000],[600],[9000]
1726,00:19:42:500,[550],[4000],[600],[9000]
1727,00:19:43:000,[550],[1000],[600],[8000]
1728,00:19:44:500,[559],[1000],[610],[71000]
1729,00:19:46:000,[559],[1000],[610],[71000]
1730,00:19:46:500,[559],[4000],[610],[68000]
1731,00:19:47:000,[559],[4000],[610],[68000]
1732,00:19:47:500,[559],[4000],[610],[68000]
1733,00:19:48:500,[559],[4000],[610],[68000]
1734,00:19:51:000,[559],[4000],[610],[67000]
1735,00:19:56:000,[550],[4000],[600],[4000]
1736,00:19:56:500,[550],[4000],[600],[7000]
1737,00:19:57:000,[540],[4000],[590],[2000]
1738,00:19:57:500,[550],[2000],[590],[2000]
1739,00:19:58:000,[550],[2000],[590],[2000]
1740,00:20:00:000,[550],[2000],[590],[2000]
1741,00:20:01:500,[559],[2000],[610],[28000]
1742,00:20:02:000,[550],[3000],[600],[26000]
1743,00:20:02:500,[550],[3000],[589],[1000]
1744,00:20:03:000,[550],[3000],[600],[26000]
1745,00:20:03:500,[550],[3000],[600],[26000]
1746,00:20:04:000,[559],[3000],[600],[26000]
1747,00:20:04:500,[550],[3000],[600],[26000]
1748,00:20:05:000,[550],[3000],[600],[26000]
1749,00:20:05:500,[550],[3000],[600],[26000]
1750,00:20:10:000,[540],[3000],[600],[26000]
1751,00:20:10:500,[540],[3000],[600],[26000]
1752,00:20:12:000,[540],[3000],[589],[2000]
1753,00:20:12:500,[550],[1000],[589],[2000]
1754,00:20:13:000,[550],[1000],[600],[26000]
